gene1,gene2,gene1_id,gene2_id,score
HSP90AB1,IKBKG,301,300,1.65493365909755
PGR,MED1,30,535,1.65488484779038
NCOA2,CEBPA,252,418,1.65488382897351
NR3C1,AR,36,37,1.65488189367473
DRD4,OPRK1,212,34,1.65471017026199
PDGFRA,VEGFA,78,305,1.6546454161823
FLT3,WNK1,44,430,1.65456903121602
APP,KIF3B,491,504,1.65450298846382
HCK,PIK3CB,275,304,1.65447488058918
NR3C1,RAF1,36,41,1.65442061254781
YES1,DDR1,231,79,1.65439403868699
FGFR4,MET,341,329,1.65437176571807
CSNK2B,NRBP1,288,502,1.6543240418889
MSN,SYK,426,258,1.65430974630848
GSR,JUN,12,69,1.65425051563313
ERBB4,ALDOA,347,409,1.65412199551465
SIN3A,HMGCR,456,81,1.65398994306729
MGA,FTL,601,589,1.65398731140685
PHB2,VCAM1,312,162,1.6539214138384
HIPK1,PTK2B,578,250,1.65387218536835
NTRK1,PIM1,76,256,1.653783728
ESR1,MPG,31,58,1.65373289194046
HMGCR,MED1,81,535,1.65371337973127
HSP90AA1,NOS2,290,224,1.6535889770546
FLOT2,YES1,417,231,1.65358023394203
EGFR,AXL,25,356,1.65349499535259
ZDHHC5,MAP4,557,220,1.65344419323352
HTR1D,P2RY12,208,123,1.65331239733735
HDAC8,RANBP2,269,631,1.65330291913288
HCK,MET,275,329,1.65314792678821
HSPA8,MAP2K2,242,343,1.65285364454816
XPOT,ZDHHC5,512,557,1.65284737892241
REEP4,VAPB,561,452,1.65277356290339
E2F1,MGA,400,601,1.65261263278488
PSMB8,COP1,334,605,1.65253725894125
FGFR1,PTK6,47,306,1.6524146070905
U2SURP,YES1,402,231,1.65237285322689
ZDHHC5,PTP4A1,557,469,1.65225439298103
HSD17B1,ALDH1A2,271,110,1.65219586005257
HSD17B1,ALDH5A1,271,20,1.65219586005257
BCL2L2,TCF4,357,614,1.65217686842133
ERBB2,PDGFRA,247,78,1.65217231188348
GPER1,P2RY12,127,123,1.65203460549685
GPER1,HTR1B,127,74,1.65203460549685
G3BP1,RAD21,420,552,1.65199147405675
ESR2,PPIC,39,576,1.65197335211357
DNMT1,LASP1,189,541,1.65190632280753
CSF1R,HSP90AB1,77,301,1.65181448743437
FRS2,FGFR3,425,308,1.65169677689056
FLT3,PIK3R1,44,538,1.65164228012829
ERBB2,SYK,247,258,1.65156352893508
FGFR2,PIK3CB,338,304,1.65150201970219
HMGCR,NCOA1,81,251,1.65139546741121
CSF1R,SRC,77,228,1.65134260099751
MTOR,WIPI2,140,500,1.6510547769611
MET,BTK,329,235,1.65104444836194
MED1,RXRB,535,105,1.65084817125214
ZNF618,HSPA8,436,242,1.65079882455947
DRD2,TF,102,60,1.65075338159183
CCT5,HDAC1,464,205,1.650731282
LYN,MAPK1,243,202,1.65067341082793
ESR1,TOP2B,31,99,1.65063181256147
CHRM3,PIK3CB,298,304,1.65062842533319
HDAC6,XPOT,268,512,1.65059127906813
BRPF3,PPP2R2A,570,587,1.65058189453467
UBR5,ZCCHC3,404,467,1.65056316585372
G3BP1,PFN2,420,582,1.65049066273944
CDK4,MARCKS,348,473,1.65040307162788
PML,MAPK11,206,340,1.65022063245875
ADRA1A,HTR2C,93,213,1.65019093802268
RARA,STAT5B,112,232,1.6501592794138
NR3C1,QKI,36,447,1.65003610998313
ACTB,EZR,286,506,1.64994367435441
SRCAP,AR,610,37,1.64991342729442
H2AX,ARID4B,554,379,1.64982653969403
RAD21,CBR1,552,295,1.64971395243267
ERBB2,TEK,247,307,1.64967275937037
CCT5,PTK6,464,306,1.64963858849848
HSPA2,QKI,291,447,1.64956047357027
HTR1A,P2RY12,73,123,1.64953046337114
EGFR,EIF4G2,25,408,1.64940259261357
ANXA2,OGDH,373,19,1.64931774011439
MAPK14,FGR,245,240,1.64928207705452
OPRK1,P2RY12,34,123,1.64922209186602
HTR1B,OPRK1,74,34,1.64922209185046
SRRM2,JAK3,629,332,1.64919855579178
PARP3,APP,352,491,1.64910365138678
APP,NEK11,491,345,1.64910365127789
POLA2,HSPA2,138,291,1.64907702306267
LARP1,YWHAG,438,454,1.64903945488326
HSPA8,TLN1,242,422,1.64898099155787
GRIA4,ACTB,157,286,1.64893908333869
FGFR3,POLA2,308,138,1.64875380712816
FLT4,IKBKG,42,300,1.64873764451753
PLEC,VCAM1,626,162,1.64870870631481
SH2B3,GRB2,310,565,1.64864216650632
RXRB,NCOA1,105,251,1.6485003079421
GSR,NTRK1,12,76,1.64840770902538
CDK6,MAP2K2,349,343,1.64831148178369
G3BP1,CHORDC1,420,439,1.64826279049267
EIF5,EIF3F,390,289,1.64823038925155
DDX6,MAPT,443,222,1.64807980502095
ERBB4,SRC,347,228,1.64801001914908
DRD2,HTR2A,102,101,1.64778139724127
PDGFRA,STAT5B,78,232,1.64769961106906
ARID1A,MACROH2A1,380,487,1.64742600394285
ADRA2B,DRD2,211,102,1.64741636836942
MAP2,SRC,221,228,1.64739319385414
HSPA8,PUM1,242,539,1.64734257762484
JAK3,PDPK1,332,263,1.64725688232446
AP2B1,VCAM1,475,162,1.64724250906086
CLTC,IKBKB,375,198,1.64713128414226
DNMT3B,SIN3A,249,456,1.64672405694934
UBE2E3,DAZAP2,463,581,1.64668339678323
FLT4,HSP90AB1,42,301,1.64659537421526
